occurrence_id,finding_id,title,summary,severity,confidence,status,close_reason,note,remediation,path,start_line,end_line
occ_231b783a7c857e1e3c59d0e2,csf_06959710abfe294521a91b1c,"Patient names, labels, and raw filenames persist into storage UI exports and downloads","Patient display names and raw filenames can be accepted, persisted, returned, displayed, exported, and used as download names.",medium,high,open,,,"Reject patient names, replace raw filenames with opaque document labels, use patient_id in UI/exports, and add canary privacy scans.",backend/app/models/models.py,191,191
occ_30d683fdf2d0be5d1c56bd7a,csf_c291c2f3ebf438b1ada3527c,Windows launcher batch files allow install-path command injection,Unquoted batch set assignments let metacharacters in install paths execute as the launching user.,medium,medium,open,,,Use quoted set syntax or replace batch launchers with a safer app launcher.,scripts/Start-IZ-Clinical-Notes-Analyzer.cmd,9,9
occ_3ecec52f9e323ecbac090aa4,csf_3db683c1c2fe78cd476e1876,Admin reset utility duplicates secret env files into backups,Admin reset copies the full secret .env to plaintext backups.,low,medium,open,,,Avoid full .env backups or redact/exclude backup secrets.,scripts/update-local-admin.ps1,47,47
occ_4d36686e0c290b172d20111d,csf_a653f895d542f37f2fe30bcf,API readiness harness can return live PHI and raw operation responses,"API quick-pull and operation-test paths can return names, TSV rows, raw JSON, or body previews from external patient APIs.",medium,high,open,,,Apply direct-identifier minimization to API payloads and remove raw response/body persistence.,backend/app/api/api_config_routes.py,433,433
occ_56e6808a9568e54254c789fe,csf_6c74ae6f1dd1b3b842847dcb,Login access intelligence trusts spoofable forwarding headers,Login audit/access intelligence can treat caller-supplied forwarding headers as source IP.,low,medium,open,,,Ignore forwarding headers unless behind a configured trusted proxy.,backend/app/services/access_intel.py,41,41
occ_6d9981421d9d79afb0b65ea1,csf_58c5cdf3379eee2b6b143bb3,Counselors can enumerate and read arbitrary timeliness clients,Counselor-allowed timeliness and review-source APIs query clients without ownership scoping.,high,high,open,,,Filter counselor reads to owned patients/charts or restrict routes to manager/admin and add negative access tests.,backend/app/api/timeliness_routes.py,79,79
occ_6db4de850839d7f9cb50f1a5,csf_8829b4d4c86ac68ac8fa98db,OAuth client credentials can be sent to cleartext HTTP token URLs,The OAuth client-credentials helper accepts HTTP token URLs and can post secrets over cleartext transport.,medium,medium,open,,,Require HTTPS for token URLs except tightly controlled local synthetic tests.,backend/app/services/api_connectivity.py,83,83
occ_70264529d43366a813406406,csf_94da2037b0d73c7c9966f2d1,Startup transcript can persist URL identifiers from access logs,Startup transcript can capture Uvicorn access logs containing request paths/query strings.,low,medium,open,,,Disable access logs or redact diagnostic bundles.,scripts/startup-windows-local.ps1,77,77
occ_85c97bfdc032299fd45bb4f3,csf_de2b24f2044f95087aeebc76,Rules evaluation response echoes PHI-capable source chart fields,Rules responses include full source_fields from PHI-capable chart input.,medium,medium,open,,,Omit or sanitize source_fields before returning rule results.,backend/app/services/rules_engine.py,453,453
occ_8a236e5736a847a851418ffb,csf_f965a012b49598256d37859c,Default bootstrap admin credential and reset behavior remain unsafe,Static bootstrap admin defaults can create full admin access if a source/install flow misses randomization.,high,medium,open,,,Fail readiness/startup for unsafe bootstrap defaults and disable reset-by-default for installed builds.,backend/app/core/config.py,79,79
occ_91c36c58b1b1d5af460f1388,csf_49511cf5e343e2053dc3db7a,Raw request query strings are persisted in forensic audit logs,"Audit rows store request query strings verbatim, so PHI or secrets in query params become durable logs.",medium,high,open,,,Redact or allowlist query strings before audit persistence.,backend/app/services/audit.py,162,162
occ_a392f7daa370024dafd9338d,csf_af6c656606daee4d2c5f4413,CSV and clipboard exports allow spreadsheet formula injection,CSV cells are quoted but formula-leading values are not neutralized before export/clipboard.,medium,medium,open,,,Prefix formula-leading cells and add export tests.,frontend/src/App.tsx,1247,1247
occ_b9ee1916e498c11e28681b0d,csf_eeb08bce4d26d0884f536bf3,Tracked Loom metadata may expose preview URLs for identifiable chart recording,Tracked reference metadata contains preview URLs for a recording described as containing identifiable chart content.,medium,low,open,,,Remove/redact external media URLs and scan release/source artifacts.,video-extract (2026-06-05)/reference-assets/loom-apollo-metadata.json,14,14
occ_c1d7e915cbfd06d45a01c089,csf_0c422e3abdabaaeb8ee03ef7,Smoke script prints reset admin password,Smoke reset mode prints the chosen admin password to stdout.,low,medium,open,,,Do not print password values; print only reset status.,scripts/smoke.sh,91,91
occ_cba5c45f6f9153efe9bc0f90,csf_e96285c44e4d384c9fcadf32,OpenAPI metadata can execute script in the admin API harness,OpenAPI metadata is interpolated into HTML and assigned to innerHTML in the admin API harness.,high,medium,open,,,Build the form with DOM/text APIs or strict escaping and add an XSS regression test.,backend/app/api/api_config_ui_routes.py,483,483
occ_dc09e2ad17214cb7dfc87d10,csf_5b42d8414c238c0775823409,Settings and audit paths expose vendor connection material,"Settings/audit payloads can expose API client IDs, endpoint URLs, token URLs, and vendor connection metadata.",medium,medium,open,,,Expose configured-state flags and redact connection material before audit/diagnostic output.,backend/app/services/app_settings.py,50,50
occ_e101e88bd1fd5b7b5358deeb,csf_872209e04e2e87bb4dadafd7,Unauthenticated readiness diagnostics expose local paths,Public readiness details can include local database/upload/log paths.,low,high,open,,,Redact public readiness or require auth for detailed diagnostics.,backend/app/services/runtime_checks.py,52,52
